Rider Id,No_Of_Orders,Age,Average_Rating,No_of_Ratings
Rider_Id_733,2203,1260,14.5,645
Rider_Id_620,1383,957,14,265
Rider_Id_669,6728,2702,13.9,2027
Rider_Id_798,2920,1482,13.9,1015
Rider_Id_541,4365,1457,13.9,1222
Rider_Id_571,4780,1716,14.1,1087
Rider_Id_421,1951,1227,12.9,579
Rider_Id_544,2142,952,13.7,491
Rider_Id_217,3595,2094,14.2,960
Rider_Id_949,551,1065,13.2,176
Rider_Id_248,3166,1173,14.1,707
Rider_Id_698,2273,1239,14,624
Rider_Id_805,4531,1862,14.2,1455
Rider_Id_84,2919,1960,13.9,1215
Rider_Id_651,2083,1123,13.8,401
Rider_Id_355,3032,1444,13.9,1047
Rider_Id_105,1875,900,14.3,442
Rider_Id_379,1601,1337,13.7,441
Rider_Id_895,3068,1229,14.1,779
Rider_Id_123,2458,1192,13.8,525
Rider_Id_777,3053,1976,13.9,1159
Rider_Id_297,1787,1189,13.9,416
Rider_Id_247,2481,752,14.3,322
Rider_Id_173,2086,1186,12.3,158
Rider_Id_727,2976,2311,13.7,770
Rider_Id_188,3837,2018,14.1,786
Rider_Id_393,3427,2385,14.2,1010
Rider_Id_583,5169,1824,14.1,1067
Rider_Id_919,526,989,14.4,187
Rider_Id_79,2204,1129,14,517
Rider_Id_661,3540,1218,13.4,848
Rider_Id_623,4013,2149,14.1,696
Rider_Id_473,2690,2429,14.3,383
Rider_Id_470,1571,1071,13.3,305
Rider_Id_374,1985,1191,12.3,143
Rider_Id_734,1938,1372,12.9,637
Rider_Id_482,1415,1516,13.5,519
Rider_Id_390,1225,2253,13.2,301
Rider_Id_239,6856,2038,13.3,402
Rider_Id_62,2072,1151,13.5,571
Rider_Id_756,3556,2263,14.2,881
Rider_Id_747,2236,1013,13.8,384
Rider_Id_770,2311,872,14.1,533
Rider_Id_555,4088,2257,14.1,799
Rider_Id_520,1689,1811,14,334
Rider_Id_786,6421,2043,14.2,2026
Rider_Id_515,7142,2132,13.2,388
Rider_Id_539,6926,2469,13.9,2008
Rider_Id_202,9561,3697,13.9,1639
Rider_Id_702,5703,2722,13.5,357
Rider_Id_102,4146,1220,14.3,1149
Rider_Id_467,2699,2287,13.7,668
Rider_Id_301,369,892,12.8,79
Rider_Id_320,3516,1494,14.1,913
Rider_Id_353,2173,1157,14.5,683
Rider_Id_441,6724,2333,14.2,2046
Rider_Id_927,2934,1441,14.2,448
Rider_Id_621,2689,2019,14,1085
Rider_Id_711,9418,3682,13.9,1547
Rider_Id_898,356,925,14.2,77
Rider_Id_499,946,1112,13.4,299
Rider_Id_209,1899,1207,13,624
Rider_Id_352,158,888,12.9,21
Rider_Id_812,4402,1090,14.3,1301
Rider_Id_148,4671,941,14.1,973
Rider_Id_680,4418,2177,14.2,1423
Rider_Id_192,439,1511,13.3,171
Rider_Id_33,2354,1936,14,1153
Rider_Id_938,1588,955,14,382
Rider_Id_64,3506,2406,14.1,1007
Rider_Id_909,2081,985,14.5,553
Rider_Id_466,2147,1007,14.1,311
Rider_Id_51,1040,1248,12.7,312
Rider_Id_892,12,881,15,4
Rider_Id_50,4345,1887,14.2,986
Rider_Id_4,4505,1377,13.9,1182
Rider_Id_327,254,881,13.5,34
Rider_Id_832,3616,2094,14.2,913
Rider_Id_726,1337,875,14.2,243
Rider_Id_167,2362,891,14.4,438
Rider_Id_956,4847,901,14.1,902
Rider_Id_890,317,876,13.5,58
Rider_Id_334,176,879,14.9,46
Rider_Id_656,3015,1368,14.3,527
Rider_Id_281,4712,1109,14.1,1015
Rider_Id_480,61,880,13.4,27
Rider_Id_858,4761,1120,14.1,1010
Rider_Id_735,407,875,14.1,108
Rider_Id_474,225,878,14.1,66
Rider_Id_455,1340,2075,13.5,300
Rider_Id_687,4859,2360,14,878
Rider_Id_116,705,874,14.3,176
Rider_Id_144,98,881,15,28
Rider_Id_329,4890,1103,14.1,1011
Rider_Id_286,8948,2185,14,1241
Rider_Id_844,517,874,13.7,157
Rider_Id_417,5,875,0,1
Rider_Id_893,1698,1649,14.2,701
Rider_Id_932,1434,1111,14.1,257
Rider_Id_888,82,880,13,24
Rider_Id_134,472,1251,14,178
Rider_Id_444,108,880,13.1,34
Rider_Id_598,4351,1400,13.9,1270
Rider_Id_284,2931,1170,14.2,586
Rider_Id_186,40,880,14.7,21
Rider_Id_423,2479,1712,14,1075
Rider_Id_755,1599,1112,12.3,339
Rider_Id_561,1926,1327,12.9,620
Rider_Id_845,3431,1512,14.2,1073
Rider_Id_412,2136,2989,14.3,230
Rider_Id_808,228,872,14.2,90
Rider_Id_360,126,874,12.4,33
Rider_Id_87,566,873,13.4,64
Rider_Id_846,2252,2978,14.4,322
Rider_Id_88,1450,872,13.8,329
Rider_Id_5,1392,3397,13.5,291
Rider_Id_366,1941,1700,14.2,687
Rider_Id_46,2224,3051,14.4,317
Rider_Id_941,1944,1745,14.2,701
Rider_Id_71,6609,2298,14.2,1939
Rider_Id_40,4618,1470,13.9,1343
Rider_Id_752,342,875,13.8,133
Rider_Id_260,5421,2059,13.6,1288
Rider_Id_208,779,873,14.2,89
Rider_Id_24,6695,2109,14.2,1874
Rider_Id_228,4239,1658,14.2,913
Rider_Id_795,2719,2326,13.7,681
Rider_Id_852,379,866,13.3,133
Rider_Id_908,370,1514,13.5,121
Rider_Id_517,4549,1226,13.9,1199
Rider_Id_351,5584,2269,13.7,1286
Rider_Id_37,2485,2286,14.6,640
Rider_Id_494,248,1393,13.5,92
Rider_Id_870,1399,1361,13.4,317
Rider_Id_140,149,859,14.5,45
Rider_Id_259,4176,2014,14.2,1027
Rider_Id_672,3124,2080,13.9,1215
Rider_Id_322,586,856,13.1,98
Rider_Id_83,517,1390,13.5,217
Rider_Id_215,2110,1225,13.8,491
Rider_Id_222,854,1252,13.6,201
Rider_Id_354,1130,1715,13.3,303
Rider_Id_574,1753,1011,13.8,472
Rider_Id_925,6868,2489,13.9,2104
Rider_Id_434,2669,2280,13.7,629
Rider_Id_224,2398,1942,14,1079
Rider_Id_200,8068,2789,13.8,1372
Rider_Id_616,221,846,13.8,58
Rider_Id_526,1629,1230,13.4,425
Rider_Id_407,2847,2362,13.7,640
Rider_Id_820,118,1111,12.6,33
Rider_Id_536,1926,994,13.8,482
Rider_Id_302,44,874,15,2
Rider_Id_445,6815,2455,13.9,2149
Rider_Id_714,4695,2158,14,895
Rider_Id_635,34,840,14.2,14
Rider_Id_31,1402,1443,13.6,258
Rider_Id_212,84,847,14.5,22
Rider_Id_615,1239,1113,14.4,391
Rider_Id_431,101,841,12.3,28
Rider_Id_107,2034,1234,13.8,552
Rider_Id_905,2241,2809,14.3,313
Rider_Id_861,3036,2447,13.2,1200
Rider_Id_614,5664,2014,13.6,1264
Rider_Id_49,4881,1990,14.5,686
Rider_Id_498,1421,1111,13.3,267
Rider_Id_851,99,831,14.4,28
Rider_Id_333,2993,1314,14.3,532
Rider_Id_235,9756,3764,13.9,1534
Rider_Id_804,2131,1184,14.5,589
Rider_Id_636,106,827,13.7,37
Rider_Id_802,199,833,13.9,26
Rider_Id_185,9140,2323,13.9,1256
Rider_Id_427,903,824,14,122
Rider_Id_584,3064,1010,14.1,700
Rider_Id_330,4860,1707,14.1,1174
Rider_Id_744,638,878,14,173
Rider_Id_442,9543,3416,13.9,1569
Rider_Id_465,942,878,14.5,222
Rider_Id_638,102,873,13.7,32
Rider_Id_579,2641,1250,13.3,468
Rider_Id_21,179,810,15,22
Rider_Id_86,1133,2006,14.1,178
Rider_Id_252,3705,2634,14.4,1155
Rider_Id_738,2849,2506,14.2,427
Rider_Id_840,2775,2575,14.2,522
Rider_Id_288,225,802,14.2,52
Rider_Id_585,2653,2252,14.4,653
Rider_Id_326,385,805,13.5,72
Rider_Id_272,2998,993,14.1,678
Rider_Id_476,2672,2336,13.9,888
Rider_Id_939,127,861,13.6,34
Rider_Id_951,284,790,13.9,58
Rider_Id_238,7921,2591,13.8,1364
Rider_Id_833,1391,1112,14,336
Rider_Id_914,3969,2311,14.2,722
Rider_Id_629,550,840,13.9,114
Rider_Id_917,2903,1385,13.9,951
Rider_Id_232,2862,2168,14,1076
Rider_Id_514,2296,2066,13.9,852
Rider_Id_642,2752,2661,14.3,445
Rider_Id_872,423,1247,14.2,187
Rider_Id_234,140,3125,14.8,28
Rider_Id_799,2820,1528,12.6,735
Rider_Id_121,5233,2170,14,1549
Rider_Id_806,26,772,14.3,16
Rider_Id_519,1591,801,14.1,187
Rider_Id_384,124,771,15,27
Rider_Id_18,5190,2201,14,1459
Rider_Id_415,766,1210,14.1,218
Rider_Id_180,178,771,14,52
Rider_Id_253,2330,679,13.7,273
Rider_Id_722,350,768,12.6,81
Rider_Id_313,198,800,13.3,56
Rider_Id_639,9,770,15,4
Rider_Id_848,1043,771,14.1,76
Rider_Id_532,1155,824,13,158
Rider_Id_145,1076,772,13,46
Rider_Id_764,2644,691,13.7,316
Rider_Id_903,2493,902,13.7,285
Rider_Id_670,128,763,14.2,29
Rider_Id_194,2357,813,14.4,406
Rider_Id_550,1988,1206,13.5,600
Rider_Id_456,1693,1110,13.5,219
Rider_Id_174,92,759,14.2,29
Rider_Id_634,2414,946,13.7,299
Rider_Id_283,1909,995,13.5,602
Rider_Id_399,2567,635,14.4,328
Rider_Id_398,197,2493,11.2,42
Rider_Id_142,204,1477,13.5,41
Rider_Id_229,284,758,14.6,82
Rider_Id_439,1909,1153,13.5,555
Rider_Id_754,682,744,14.5,119
Rider_Id_659,4608,2266,14,847
Rider_Id_343,3654,876,14.2,588
Rider_Id_857,583,742,13.7,52
Rider_Id_849,2668,956,14.4,453
Rider_Id_250,2583,705,13.7,288
Rider_Id_836,161,742,11.6,29
Rider_Id_933,3516,569,14.3,482
Rider_Id_447,492,740,13.9,47
Rider_Id_882,730,740,13.8,71
Rider_Id_273,33,738,15,2
Rider_Id_387,705,740,14.1,111
Rider_Id_452,570,741,14,98
Rider_Id_307,2374,2125,13.7,501
Rider_Id_19,1645,739,13.6,178
Rider_Id_263,3333,892,14.2,505
Rider_Id_414,420,734,14.8,55
Rider_Id_877,2687,2127,14.4,672
Rider_Id_182,4305,1794,13.7,1242
Rider_Id_700,84,730,12,15
Rider_Id_462,1850,998,14.4,360
Rider_Id_471,43,735,13.2,17
Rider_Id_85,3604,820,14.2,586
Rider_Id_293,3187,1538,14.3,1048
Rider_Id_402,940,984,13,102
Rider_Id_595,3544,1285,14.3,1024
Rider_Id_548,998,733,14.6,130
Rider_Id_96,713,726,14.8,66
Rider_Id_400,461,770,14.6,83
Rider_Id_12,2399,2466,13.7,591
Rider_Id_666,1328,1444,12.9,511
Rider_Id_450,3322,1317,14.3,1156
Rider_Id_674,3451,635,14.3,495
Rider_Id_179,532,740,14,44
Rider_Id_946,2336,2184,13.7,524
Rider_Id_82,2618,2346,13.7,603
Rider_Id_622,1465,719,14.3,130
Rider_Id_213,135,726,14.6,14
Rider_Id_419,4971,1915,14.1,1378
Rider_Id_249,191,713,14,29
Rider_Id_592,70,714,15,16
Rider_Id_308,1423,1272,13.6,451
Rider_Id_578,874,1393,13.7,215
Rider_Id_552,15,698,0,0
Rider_Id_54,226,796,13.7,32
Rider_Id_240,1541,1243,13.7,442
Rider_Id_361,2629,1700,14.2,796
Rider_Id_810,135,677,14.3,8
Rider_Id_748,3506,2557,14,157
Rider_Id_822,4383,2066,14.3,880
Rider_Id_566,4585,2107,14.3,978
Rider_Id_453,330,678,14.4,29
Rider_Id_611,235,740,13.5,24
Rider_Id_328,635,674,12,35
Rider_Id_818,5036,1919,14.6,599
Rider_Id_231,2473,1379,14.3,739
Rider_Id_117,744,1806,13.8,272
Rider_Id_647,1730,1075,13.8,236
Rider_Id_365,2038,1817,14.3,397
Rider_Id_811,5202,2203,14.5,590
Rider_Id_655,2049,1222,13.9,712
Rider_Id_336,1937,1955,14.3,454
Rider_Id_464,2773,1552,12.6,801
Rider_Id_704,730,1113,14.4,156
Rider_Id_934,56,672,11.1,7
Rider_Id_736,314,2673,14.2,22
Rider_Id_537,517,2275,11.3,9
Rider_Id_707,9038,2365,13.9,1244
Rider_Id_295,5217,2237,14.5,667
Rider_Id_413,3149,2172,13.9,1187
Rider_Id_189,532,730,14.7,72
Rider_Id_847,981,2301,13.7,178
Rider_Id_713,96,650,15,10
Rider_Id_516,3650,1906,14.2,1185
Rider_Id_172,2914,1556,14.2,925
Rider_Id_612,730,642,14,80
Rider_Id_503,5757,1799,14.2,2298
Rider_Id_731,483,645,13.5,31
Rider_Id_785,1988,1676,14.3,421
Rider_Id_565,225,636,13.2,20
Rider_Id_38,721,635,14.4,69
Rider_Id_632,82,644,15,7
Rider_Id_156,2067,1745,14.3,547
Rider_Id_383,2412,787,14.3,309
Rider_Id_72,2584,854,14.2,304
Rider_Id_405,4380,2363,14.3,972
Rider_Id_504,2769,2305,14.4,573
Rider_Id_703,1785,818,14.4,499
Rider_Id_137,2008,2292,12.9,364
Rider_Id_39,7204,1909,13.3,354
Rider_Id_871,3189,1415,14.3,1045
Rider_Id_41,2266,2262,13,257
Rider_Id_640,1975,1611,14.3,639
Rider_Id_750,2112,2063,14.4,872
Rider_Id_817,2322,966,14.4,314
Rider_Id_496,5359,1895,14.1,1411
Rider_Id_125,1995,967,13.9,657
Rider_Id_607,2385,525,14.3,433
Rider_Id_337,1985,1052,13.9,634
Rider_Id_10,6978,1990,13.3,413
Rider_Id_403,2016,2382,13,390
Rider_Id_11,5491,1780,14.2,1420
Rider_Id_597,2027,2408,14.4,773
Rider_Id_178,2684,788,14.2,343
Rider_Id_282,1879,2336,14.4,780
Rider_Id_497,2056,206,15.2,197
Rider_Id_743,4486,1529,13.7,1393
Rider_Id_81,2436,1428,14.2,728
Rider_Id_472,2178,2409,12.9,347
Rider_Id_254,5534,1643,14.2,1517
Rider_Id_63,933,907,13.2,228
Rider_Id_190,3920,2224,14.5,813
Rider_Id_730,2545,2147,14.3,557
Rider_Id_43,2411,1245,14.3,645
Rider_Id_391,2516,1839,14.1,856
Rider_Id_257,4324,1530,13.7,1339
Rider_Id_70,2087,2411,12.9,371
Rider_Id_120,3462,1565,14.3,1015
Rider_Id_619,7056,2047,13.3,411
Rider_Id_191,2538,1065,14.3,712
Rider_Id_593,1003,782,12.9,148
Rider_Id_662,127,601,14.1,12
Rider_Id_420,3840,1886,14.2,1149
Rider_Id_829,1255,593,14.5,93
Rider_Id_368,289,754,14.9,41
Rider_Id_29,2789,2302,14,1082
Rider_Id_533,1535,650,14.6,75
Rider_Id_299,557,588,14.4,69
Rider_Id_274,1760,2088,14.1,518
Rider_Id_562,2913,2253,14,1062
Rider_Id_568,83,586,10.8,14
Rider_Id_775,153,584,14.4,20
Rider_Id_646,156,587,15,9
Rider_Id_518,637,1069,13.8,45
Rider_Id_22,50,581,15,7
Rider_Id_303,3159,1055,13.5,742
Rider_Id_823,1703,1590,14.2,740
Rider_Id_477,877,901,13.5,124
Rider_Id_649,1751,618,13.8,310
Rider_Id_897,2,576,0,1
Rider_Id_952,1687,548,13.8,297
Rider_Id_69,106,586,15,7
Rider_Id_854,1830,585,13.7,321
Rider_Id_876,2718,1160,13.7,460
Rider_Id_878,429,577,13,13
Rider_Id_675,751,576,14.2,62
Rider_Id_108,2385,1276,13.3,559
Rider_Id_708,1819,707,13.7,371
Rider_Id_1,8,589,0,1
Rider_Id_559,334,581,14.2,31
Rider_Id_926,2935,1102,13.7,344
Rider_Id_210,1608,1806,13.5,626
Rider_Id_880,1212,2245,13.4,197
Rider_Id_436,1202,576,13.4,105
Rider_Id_796,4187,2159,14.2,1146
Rider_Id_128,3316,2372,14,182
Rider_Id_112,305,643,14.5,49
Rider_Id_684,7589,2741,14.9,139
Rider_Id_866,145,580,15,4
Rider_Id_928,1242,623,14,106
Rider_Id_237,788,572,14.2,72
Rider_Id_171,117,571,12,6
Rider_Id_184,99,570,14.1,7
Rider_Id_660,1062,573,13.2,100
Rider_Id_416,4916,1641,14.1,1366
Rider_Id_587,4482,2237,13.8,1196
Rider_Id_287,1130,2253,13.4,110
Rider_Id_596,1633,1719,13.9,521
Rider_Id_867,32,587,0,0
Rider_Id_370,4353,2201,13.8,1247
Rider_Id_32,5003,1863,14.4,1983
Rider_Id_712,5032,1838,14.1,1515
Rider_Id_936,8296,2715,13.7,1394
Rider_Id_485,3112,2686,13.9,642
Rider_Id_487,5006,1632,14.1,1490
Rider_Id_289,950,1357,14,260
Rider_Id_157,5588,2638,13.5,200
Rider_Id_490,5098,1850,14.4,1971
Rider_Id_451,3323,1170,13.5,718
Rider_Id_774,3178,830,13.5,759
Rider_Id_935,4156,2088,14.2,1037
Rider_Id_783,1975,1125,13.9,557
Rider_Id_889,3844,2258,13.6,1139
Rider_Id_359,2118,2406,14.2,207
Rider_Id_97,5694,2419,13.5,298
Rider_Id_380,2986,2846,13.9,568
Rider_Id_469,3300,938,13.6,624
Rider_Id_551,2107,1128,13.5,461
Rider_Id_573,1773,2252,14.3,241
Rider_Id_114,288,556,13.7,27
Rider_Id_715,5063,1853,14.1,1438
Rider_Id_160,3335,2351,14,177
Rider_Id_206,1376,557,13.7,165
Rider_Id_630,2588,1285,13.3,576
Rider_Id_588,8267,2528,13.7,1285
Rider_Id_136,3795,1760,14.2,1182
Rider_Id_781,1910,1546,14.2,607
Rider_Id_164,3737,1884,14.2,1054
Rider_Id_842,2035,964,13.9,560
Rider_Id_143,1704,1658,14.3,686
Rider_Id_769,2730,2118,14.4,666
Rider_Id_793,2564,1217,13.3,629
Rider_Id_626,4553,1792,13.7,1312
Rider_Id_276,925,550,14.5,73
Rider_Id_98,3526,2350,14,162
Rider_Id_80,4213,2059,14.2,1025
Rider_Id_699,737,2102,13.8,57
Rider_Id_554,442,1375,13.2,80
Rider_Id_884,1829,2489,14.3,224
Rider_Id_199,1683,2300,13.9,300
Rider_Id_30,446,580,13.9,37
Rider_Id_902,224,1083,13.8,38
Rider_Id_685,487,560,13.7,44
Rider_Id_230,7680,2476,14.9,147
Rider_Id_187,3298,943,13.6,662
Rider_Id_569,740,1393,13.5,121
Rider_Id_913,4036,2119,14.4,700
Rider_Id_807,3267,1614,13.5,708
Rider_Id_130,4026,1843,14.2,1148
Rider_Id_395,2483,1664,12.7,635
Rider_Id_859,2428,1940,13.9,970
Rider_Id_375,444,1113,13.4,165
Rider_Id_958,1907,530,13.8,305
Rider_Id_331,4048,1844,14.2,1078
Rider_Id_315,1963,1091,13.9,576
Rider_Id_356,2166,2110,14.3,922
Rider_Id_920,648,2157,13.7,18
Rider_Id_803,2462,1067,13.4,631
Rider_Id_244,686,718,13.9,64
Rider_Id_381,5055,1882,14.4,2053
Rider_Id_879,2345,921,14.5,642
Rider_Id_509,5477,1743,14.2,2184
Rider_Id_718,1969,791,14.4,437
Rider_Id_57,4923,1651,14.4,2018
Rider_Id_911,3197,1455,13.6,683
Rider_Id_227,2841,1417,14.2,791
Rider_Id_512,152,587,13.5,13
Rider_Id_625,1220,1386,14,492
Rider_Id_719,23,530,13.5,8
Rider_Id_93,4334,1647,13.8,1310
Rider_Id_110,3229,2406,13.2,1167
Rider_Id_501,1809,1043,14.1,423
Rider_Id_778,825,531,14.2,74
Rider_Id_528,5770,1793,14.2,2205
Rider_Id_66,27,1027,13.5,4
Rider_Id_557,2168,941,14.1,409
Rider_Id_839,1909,937,14.1,461
Rider_Id_828,2880,953,13.8,346
Rider_Id_717,5178,1942,14.5,557
Rider_Id_558,778,2499,13.5,120
Rider_Id_258,2734,1192,13.8,535
Rider_Id_547,970,3251,13.3,53
Rider_Id_401,3289,1706,13.6,642
Rider_Id_931,2611,1250,13.8,479
Rider_Id_458,1998,777,14.4,418
Rider_Id_457,827,1581,13.8,132
Rider_Id_195,2015,1225,14.1,312
Rider_Id_317,3109,2446,13.2,1145
Rider_Id_386,4191,1964,14.3,1061
Rider_Id_242,2822,1903,13.8,712
Rider_Id_725,680,2890,13.9,27
Rider_Id_138,182,497,15,21
Rider_Id_362,1018,504,13.1,87
Rider_Id_523,928,494,14.3,43
Rider_Id_404,1034,495,14.6,63
Rider_Id_627,2086,1744,14.3,655
Rider_Id_575,3679,2149,14.4,699
Rider_Id_113,538,1516,13.4,234
Rider_Id_679,3510,1992,13.5,1312
Rider_Id_53,241,1109,13.7,73
Rider_Id_511,152,496,15,5
Rider_Id_205,1275,497,14.8,119
Rider_Id_609,70,495,15,6
Rider_Id_794,3765,2359,13.6,1129
Rider_Id_14,47,488,12,4
Rider_Id_28,7842,2498,14.9,99
Rider_Id_150,179,493,15,3
Rider_Id_364,1914,2519,14.3,326
Rider_Id_454,81,491,14.7,19
Rider_Id_918,39,488,6,2
Rider_Id_267,523,491,12.8,40
Rider_Id_667,4,488,0,1
Rider_Id_677,35,487,15,3
Rider_Id_741,254,483,14.1,18
Rider_Id_723,558,1510,14.1,193
Rider_Id_382,175,483,15,2
Rider_Id_175,1734,1576,14.2,756
Rider_Id_48,625,479,13.6,38
Rider_Id_90,3206,1690,13.5,799
Rider_Id_332,397,476,15,34
Rider_Id_560,2469,1652,14.1,817
Rider_Id_23,3288,2524,13.2,1129
Rider_Id_527,1782,2145,14.5,406
Rider_Id_697,314,473,13.8,29
Rider_Id_819,383,474,14.2,52
Rider_Id_665,2587,1859,12.6,723
Rider_Id_899,318,480,14.7,19
Rider_Id_428,202,490,15,12
Rider_Id_853,3640,1893,13.5,1236
Rider_Id_47,29,463,0,0
Rider_Id_300,574,463,12.3,41
Rider_Id_26,833,460,13.1,67
Rider_Id_323,53,790,15,9
Rider_Id_721,3918,2363,13.6,1168
Rider_Id_325,3399,1869,13.5,1270
Rider_Id_75,411,460,14.3,56
Rider_Id_25,613,460,12.5,65
Rider_Id_728,914,452,13.9,69
Rider_Id_576,1486,454,14.2,151
Rider_Id_440,1871,2224,14.3,158
Rider_Id_746,2442,2163,14.4,552
Rider_Id_342,3429,2245,13.5,1299
Rider_Id_220,9,452,0,1
Rider_Id_52,216,449,14,23
Rider_Id_915,2794,1616,12.7,696
Rider_Id_275,364,449,14.1,19
Rider_Id_73,3240,2064,13.9,1107
Rider_Id_489,256,449,15,16
Rider_Id_831,1035,446,12.6,93
Rider_Id_862,201,448,15,10
Rider_Id_594,3068,2084,14,1108
Rider_Id_424,3305,1757,13.5,645
Rider_Id_664,2818,2624,14.3,433
Rider_Id_534,117,462,15,3
Rider_Id_901,2186,1131,13.9,570
Rider_Id_957,11,419,0,1
Rider_Id_809,1945,1003,14,447
Rider_Id_768,5072,1821,14.4,2011
Rider_Id_505,2490,2025,14.4,612
Rider_Id_357,1008,1527,13.6,362
Rider_Id_418,329,413,14.3,34
Rider_Id_246,193,435,13.3,15
Rider_Id_111,2079,1097,14,582
Rider_Id_319,7671,2706,14.9,103
Rider_Id_800,1188,2154,13.2,154
Rider_Id_801,329,409,14.1,27
Rider_Id_269,721,409,13.8,60
Rider_Id_443,3504,2234,14.6,1086
